name,nickname,score,count,platform,date,dna,company,tag,url,img
微小的回声,Tiny Echo,-1.0,-1,['PC'],2017-08-31,['冒险'],Might and Delight,['冒险'],https://www.vgtime.com/game/10347.jhtml,https://img01.vgtime.com/game/cover/2017/06/06/170606121750426.jpg
奇异人生 暴风前夕,Life is Strange: Before the Storm,8.4,166,"['PC', 'Android', 'iOS', 'XBone', 'PS4']",2017-08-31,"['角色扮演', '文字']",Deck Nine Games,"['角色扮演', '文字', '交互式电影']",https://www.vgtime.com/game/10371.jhtml,https://img01.vgtime.com/game/cover/2017/06/13/170613113420286.jpg
太平洋之岚 史上最大的激战 诺曼底攻防战,太平洋の嵐～史上最大の激戦 ノルマンディー攻防戦！～,-1.0,-1,"['PSV', 'PS4']",2017-08-31,"['策略', '模拟']",SystemSoft Alpha,"['策略', '模拟']",https://www.vgtime.com/game/10316.jhtml,
Last Day of June,,9.3,10,"['PC', 'PS4']",2017-08-31,['冒险'],Ovosonico,['冒险'],https://www.vgtime.com/game/10519.jhtml,https://img01.vgtime.com/game/cover/2017/09/06/170906112153767.jpg
神狱塔 断罪玛丽,神獄塔 メアリスケルター,-1.0,-1,['PSV'],2016-10-13,['角色扮演'],Compile Heart,['角色扮演'],https://www.vgtime.com/game/3573.jhtml,https://img01.vgtime.com/photo/web/160406120521197.jpg
超次元游戏 海王星MK2,超次元ゲイム ネプテューヌ mk2,-1.0,-1,['PS3'],2011-08-18,['角色扮演'],Compile Heart,['角色扮演'],https://www.vgtime.com/game/2804.jhtml,
神次元游戏：海王星V,神次元ゲイム ネプテューヌV,-1.0,-1,['PS3'],2012-08-30,['角色扮演'],Idea Factory,['角色扮演'],https://www.vgtime.com/game/3142.jhtml,https://img01.vgtime.com/photo/web/15102814374769.jpg
神次元游戏：海王星 重生3,Hyperdimension Neptunia Re;Birth 3: V Century,8.7,19,"['PSV', 'PS3']",2014-12-18,['角色扮演'],Compile Heart,['角色扮演'],https://www.vgtime.com/game/1135.jhtml,https://img01.vgtime.com/photo/web/150430163936418.jpg
战机少女 重生1,Hyperdimension Neptunia Re;Birth 1,8.6,27,"['PC', 'PSV', 'PS3']",2013-01-31,['角色扮演'],Compile Heart,['角色扮演'],https://www.vgtime.com/game/1133.jhtml,https://img01.vgtime.com/photo/web/15043015213321.jpg
音乐世界,Cytus,-1.0,-1,"['Android', 'iOS', 'Switch']",2012-01-12,['音乐'],Rayark International Limited,['音乐'],https://www.vgtime.com/game/11026.jhtml,
节奏大师,Rhythm Master,-1.0,-1,"['Android', 'iOS']",2012-05-26,['音乐'],腾讯科技,['音乐'],https://www.vgtime.com/game/11117.jhtml,https://img01.vgtime.com/game/cover/2018/12/22/181222113527264.jpg
妖圣剑士F,フェアリーフェンサー エフ,-1.0,-1,['PS3'],2013-10-10,['角色扮演'],Compile Heart,['角色扮演'],https://www.vgtime.com/game/2991.jhtml,https://img01.vgtime.com/photo/web/150917163839485.jpg
限界凸旗：七个海盗,限界凸旗 セブンパイレーツ,8.5,43,['PSV'],2016-08-04,"['角色扮演', '育成']",Compile Heart,"['角色扮演', '育成']",https://www.vgtime.com/game/3569.jhtml,
寂静岭：起源,Silent Hill The Origin,8.3,235,"['PSP', 'PS2']",2007-10-26,"['动作', '恐怖', '冒险']",Climax,"['动作', '恐怖', '冒险']",https://www.vgtime.com/game/2267.jhtml,https://img01.vgtime.com/photo/web/150703161555649.png
寂静岭 破碎的记忆,Silent Hill: Shattered Memories,8.1,149,"['Wii', 'PSP', 'PS2']",2009-12-08,"['动作', '冒险']",Climax,"['动作', '冒险']",https://www.vgtime.com/game/2618.jhtml,https://img01.vgtime.com/photo/web/150803174110716.jpg
天地之门,天地の門,8.1,19,['PSP'],2005-09-29,"['动作', '角色扮演']",Climax,"['动作', '角色扮演']",https://www.vgtime.com/game/2166.jhtml,https://img01.vgtime.com/photo/web/15060316184128.jpg
对决传说,テイルズ オブ バーサス,-1.0,-1,['PSP'],2009-08-06,['动作'],Climax,['动作'],https://www.vgtime.com/game/2485.jhtml,https://img01.vgtime.com/photo/web/150728093506332.jpg
天地之门2：武双传,天地の門２：武双伝,-1.0,-1,['PSP'],2006-10-19,"['动作', '角色扮演']",Climax,"['动作', '角色扮演']",https://www.vgtime.com/game/2167.jhtml,https://img01.vgtime.com/photo/web/150603165222654.jpg
